,iModulon,function,size
0,Fatty Acid,Fatty Acid Metabolism,97
1,Nucleoside,Carbon Metabolism,24
2,Cytochrome,Energy production and Conversion,16
3,Transketolase,Amino Acid Metabolism,21
4,Cyclofaulknamycin-2,Secondary Metabolism,17
5,Candicidin/Antimycin,Secondary Metabolism,57
6,Thiopeptide,Secondary Metabolism,16
7,Ammonium,Nitrogen Metabolism,23
8,Mce3R,Membrane Transport,24
9,UC-1,Uncharacterized,105
10,Cyclofaulknamycin-1,Secondary Metabolism,16
11,Surugamide-2,Secondary Metabolism,10
12,Glucose,Carbon Metabolism,2
13,SigK,Cell wall/membrane/envelope biogenesis,16
14,Paulomycin,Secondary Metabolism,39
15,Translation,Translation,73
16,Phenylacetate,Carbon Metabolism,15
17,UC-2,Uncharacterized,75
18,Fructose,Carbon Metabolism,5
19,Histidine,Amino Acid Metabolism,18
20,Chaplin,Development,98
21,Sugar-1,Carbon Metabolism,27
22,Dudomycin/Minimycin,Secondary Metabolism,53
23,RpoS,Stress Response,39
24,UC-3,Uncharacterized,48
25,Arsenate,Metal Homeostasis,4
26,Phospholipid,Fatty Acid Metabolism,6
27,Cellobiose,Carbon Metabolism,18
28,Iron Acquisition,Metal Homeostasis,42
29,Sulfur Metabolism,Amino Acid Metabolism,21
30,NRPS-1,Secondary Metabolism,49
31,Leucine,Amino Acid Metabolism,12
32,UC-4,Uncharacterized,95
33,DNA Damage,DNA Damage,73
34,CysB,Amino Acid Metabolism,38
35,Surugamide-1,Secondary Metabolism,122
36,UC-5,Uncharacterized,6
37,BGC-General,Secondary Metabolism,59
38,Glycerol,Carbon Metabolism,6
39,Xylose,Carbon Metabolism,23
40,UC-6,Uncharacterized,92
41,SGR PTM,Secondary Metabolism,43
42,Valine,Amino Acid Metabolism,25
43,UC-7,Uncharacterized,102
44,UC-8,Uncharacterized,44
45,UC-9,Uncharacterized,78
46,Antimycin,Secondary Metabolism,17
47,Gas Vesicle,Membrane Transport,84
48,Phosphate,Phosphate Metabolism,24
49,UC-10,Uncharacterized,90
50,Prophages,Stress Response,22
51,Stress Response,Stress Response,39
52,Galactose,Carbon Metabolism,50
53,Potassium,Metal Homeostasis,6
54,Sucrose,Carbon Metabolism,4
55,UC-11,Uncharacterized,52
56,UC-12,Uncharacterized,86
57,NDH,Energy Metabolism,47
58,UC-13,Uncharacterized,93
59,SAL-2242,Secondary Metabolism,42
60,UC-14,Uncharacterized,127
61,Sugar-2,Carbon Metabolism,6
62,hrt Complex,Membrane Transport,4
